2023-01-04 05:52:25 status half-installed liblz4-1:armhf 1.9.2-2
2023-01-04 05:52:25 status unpacked liblz4-1:armhf 1.9.2-2
2023-01-04 05:52:25 install liblzma5:armhf <none> 5.2.4-1
2023-01-04 05:52:25 status half-installed liblzma5:armhf 5.2.4-1
2023-01-04 05:52:25 status unpacked liblzma5:armhf 5.2.4-1
2023-01-04 05:52:25 install libmount1:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:25 status half-installed libmount1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:25 status unpacked libmount1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:25 install libncurses6:armhf <none> 6.2-0ubuntu2
2023-01-04 05:52:25 status half-installed libncurses6:armhf 6.2-0ubuntu2
2023-01-04 05:52:25 status unpacked libncurses6:armhf 6.2-0ubuntu2
2023-01-04 05:52:25 install libncursesw6:armhf <none> 6.2-0ubuntu2
2023-01-04 05:52:25 status half-installed libncursesw6:armhf 6.2-0ubuntu2
2023-01-04 05:52:25 status unpacked libncursesw6:armhf 6.2-0ubuntu2
2023-01-04 05:52:25 install libpam-modules:armhf <none> 1.3.1-5ubuntu4
2023-01-04 05:52:25 status half-installed libpam-modules:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:26 status unpacked libpam-modules:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:26 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu4
2023-01-04 05:52:26 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:26 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:26 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2023-01-04 05:52:26 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2023-01-04 05:52:26 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2023-01-04 05:52:26 install libpam0g:armhf <none> 1.3.1-5ubuntu4
2023-01-04 05:52:26 status half-installed libpam0g:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:27 status unpacked libpam0g:armhf 1.3.1-5ubuntu4
2023-01-04 05:52:27 install libpcre2-8-0:armhf <none> 10.34-7
2023-01-04 05:52:27 status half-installed libpcre2-8-0:armhf 10.34-7
2023-01-04 05:52:27 status unpacked libpcre2-8-0:armhf 10.34-7
2023-01-04 05:52:27 install libpcre3:armhf <none> 2:8.39-12build1
2023-01-04 05:52:27 status half-installed libpcre3:armhf 2:8.39-12build1
2023-01-04 05:52:27 status unpacked libpcre3:armhf 2:8.39-12build1
2023-01-04 05:52:27 install libprocps8:armhf <none> 2:3.3.16-1ubuntu2
2023-01-04 05:52:27 status half-installed libprocps8:armhf 2:3.3.16-1ubuntu2
2023-01-04 05:52:27 status unpacked libprocps8:armhf 2:3.3.16-1ubuntu2
2023-01-04 05:52:27 install libselinux1:armhf <none> 3.0-1build2
2023-01-04 05:52:27 status half-installed libselinux1:armhf 3.0-1build2
2023-01-04 05:52:27 status unpacked libselinux1:armhf 3.0-1build2
2023-01-04 05:52:27 install libsemanage-common:all <none> 3.0-1build2
2023-01-04 05:52:27 status half-installed libsemanage-common:all 3.0-1build2
2023-01-04 05:52:27 status unpacked libsemanage-common:all 3.0-1build2
2023-01-04 05:52:27 install libsemanage1:armhf <none> 3.0-1build2
2023-01-04 05:52:27 status half-installed libsemanage1:armhf 3.0-1build2
2023-01-04 05:52:27 status unpacked libsemanage1:armhf 3.0-1build2
2023-01-04 05:52:28 install libsepol1:armhf <none> 3.0-1
